"Name","Component","Side","Place X","Place Y","Rotation"
"J1","54601-908WPLF","Top","508.430","500.145","90.00"
"LED2","150060BS75000","Top","511.000","510.600","180.00"
"C1","Capacitor","Top","495.400","515.900","0.00"
"C2","Capacitor","Top","492.100","521.900","180.00"
"C3","Capacitor","Top","489.100","517.000","90.00"
"C4","Capacitor","Top","491.600","482.895","270.00"
"C5","Capacitor","Top","497.000","485.200","270.00"
"D2","CDSOT23-0502B","Top","501.700","510.000","180.00"
"D3","CDSOT23-0502B","Top","507.300","490.400","180.00"
"LOGO2","Designspark_Logo","Top","500.000","474.800","0.00"
"LED1","KPA-3010YC","Top","500.000","531.200","0.00"
"S1","LMR62014XMF_NOPB","Top","492.600","517.000","270.00"
"D1","MBR0530T3G","Top","495.400","521.300","270.00"
"F1","MF-USMF035-2","Top","507.000","511.500","270.00"
"IC1","PCA9615DP","Top","496.981","481.895","0.00"
"R1","Resistor","Top","489.100","518.700","90.00"
"R2","Resistor","Top","490.900","514.000","90.00"
"R3","Resistor","Top","496.100","488.900","90.00"
"R4","Resistor","Top","499.400","488.900","90.00"
"R5","Resistor","Top","502.700","488.900","90.00"
"R6","Resistor","Top","502.900","484.695","0.00"
"R7","Resistor","Top","502.900","481.395","0.00"
"R8","Resistor","Top","502.900","478.095","0.00"
"R9","Resistor","Top","498.200","527.700","0.00"
"R10","Resistor","Top","511.800","513.400","180.00"
"LOGO1","RS_Logo","Top","510.005","520.331","0.00"
"CONN1","SolderBridge_0603_NC","Top","501.800","527.700","180.00"
"L1","SRN5020TA-120M","Top","499.200","517.700","90.00"
"J2","TSW-106-08-G-D-RA","Top","495.000","500.000","90.00"
